n = 14, m = 13, t1f =  1.08, t1 =  2 <=> t2 =  2, t2f =  2.00
n = 14, m = 14, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.93
n = 14, m = 15, t1f =  0.93, t1 =  1 <=> t2 =  1, t2f =  1.87
n = 14, m = 16, t1f =  0.88, t1 =  1 <=> t2 =  1, t2f =  1.81
n = 14, m = 17, t1f =  0.82, t1 =  1 <=> t2 =  1, t2f =  1.76
n = 14, m = 18, t1f =  0.78, t1 =  1 <=> t2 =  1, t2f =  1.72
n = 14, m = 19, t1f =  0.74, t1 =  1 <=> t2 =  1, t2f =  1.68
n = 14, m = 20, t1f =  0.70, t1 =  1 <=> t2 =  1, t2f =  1.65
n = 15, m =  1, t1f = 15.00, t1 = 15 <=> t2 = 15, t2f = 15.00
n = 15, m =  2, t1f =  7.50, t1 =  8 <=> t2 =  8, t2f =  8.00
n = 15, m =  3, t1f =  5.00, t1 =  5 <=> t2 =  5, t2f =  5.67
n = 15, m =  4, t1f =  3.75, t1 =  4 <=> t2 =  4, t2f =  4.50
n = 15, m =  5, t1f =  3.00, t1 =  3 <=> t2 =  3, t2f =  3.80
n = 15, m =  6, t1f =  2.50, t1 =  3 <=> t2 =  3, t2f =  3.33
n = 15, m =  7, t1f =  2.14, t1 =  3 <=> t2 =  3, t2f =  3.00
n = 15, m =  8, t1f =  1.88, t1 =  2 <=> t2 =  2, t2f =  2.75
n = 15, m =  9, t1f =  1.67, t1 =  2 <=> t2 =  2, t2f =  2.56
n = 15, m = 10, t1f =  1.50, t1 =  2 <=> t2 =  2, t2f =  2.40
n = 15, m = 11, t1f =  1.36, t1 =  2 <=> t2 =  2, t2f =  2.27
n = 15, m = 12, t1f =  1.25, t1 =  2 <=> t2 =  2, t2f =  2.17
n = 15, m = 13, t1f =  1.15, t1 =  2 <=> t2 =  2, t2f =  2.08
n = 15, m = 14, t1f =  1.07, t1 =  2 <=> t2 =  2, t2f =  2.00
n = 15, m = 15, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.93
n = 15, m = 16, t1f =  0.94, t1 =  1 <=> t2 =  1, t2f =  1.88
n = 15, m = 17, t1f =  0.88, t1 =  1 <=> t2 =  1, t2f =  1.82
n = 15, m = 18, t1f =  0.83, t1 =  1 <=> t2 =  1, t2f =  1.78
n = 15, m = 19, t1f =  0.79, t1 =  1 <=> t2 =  1, t2f =  1.74
n = 15, m = 20, t1f =  0.75, t1 =  1 <=> t2 =  1, t2f =  1.70
n = 16, m =  1, t1f = 16.00, t1 = 16 <=> t2 = 16, t2f = 16.00
n = 16, m =  2, t1f =  8.00, t1 =  8 <=> t2 =  8, t2f =  8.50
n = 16, m =  3, t1f =  5.33, t1 =  6 <=> t2 =  6, t2f =  6.00
n = 16, m =  4, t1f =  4.00, t1 =  4 <=> t2 =  4, t2f =  4.75
n = 16, m =  5, t1f =  3.20, t1 =  4 <=> t2 =  4, t2f =  4.00
n = 16, m =  6, t1f =  2.67, t1 =  3 <=> t2 =  3, t2f =  3.50
n = 16, m =  7, t1f =  2.29, t1 =  3 <=> t2 =  3, t2f =  3.14
n = 16, m =  8, t1f =  2.00, t1 =  2 <=> t2 =  2, t2f =  2.88
n = 16, m =  9, t1f =  1.78, t1 =  2 <=> t2 =  2, t2f =  2.67
n = 16, m = 10, t1f =  1.60, t1 =  2 <=> t2 =  2, t2f =  2.50
n = 16, m = 11, t1f =  1.45, t1 =  2 <=> t2 =  2, t2f =  2.36
